# CASE 別の仮想 EXIT 比較（§15）。最も成績のよい CASE を採用する、という使い方はしない。gave_back_most は「+10%以上まで上昇し、最終リターンが最大含み益の半分未満」という集計上の定義。
code,name,signal_date,path_label,case,case_label,exit_type,exit_date,exit_day_offset,exit_reference_price,gap_through,approximate_return_pct,holding_days,still_open,order_ambiguous,max_gain_pct,max_gain_date,max_loss_pct,giveback_pct,rose5_then_lost,gave_back_most
6383,ダイフク,2026-04-20,P0_NO_BREAKOUT,CASE2_WARNING_EXIT,CASE2 warning_low 下抜けで利確,INITIAL_STOP_EXIT,2026-04-22,1,6240.4215,false,-2.7663,2,false,false,0.5578,2026-04-21,-3.0059,3.3241,false,false
6383,ダイフク,2026-04-20,P0_NO_BREAKOUT,CASE3_TRAILING,CASE3 トレーリング（warning_low では降りない）,INITIAL_STOP_EXIT,2026-04-22,1,6240.4215,false,-2.7663,2,false,false,0.5578,2026-04-21,-3.0059,3.3241,false,false
6976,太陽誘電,2026-04-22,P0_NO_BREAKOUT,CASE1_INITIAL_STOP_ONLY,CASE1 初期STOPのみ（前回と同じ）,INITIAL_STOP_EXIT,2026-04-23,0,5986.9150,false,-3.2809,1,false,false,1.1309,2026-04-23,-3.5541,4.4117,false,false
6976,太陽誘電,2026-04-22,P0_NO_BREAKOUT,CASE2_WARNING_EXIT,CASE2 warning_low 下抜けで利確,INITIAL_STOP_EXIT,2026-04-23,0,5986.9150,false,-3.2809,1,false,false,1.1309,2026-04-23,-3.5541,4.4117,false,false
6976,太陽誘電,2026-04-22,P0_NO_BREAKOUT,CASE3_TRAILING,CASE3 トレーリング（warning_low では降りない）,INITIAL_STOP_EXIT,2026-04-23,0,5986.9150,false,-3.2809,1,false,false,1.1309,2026-04-23,-3.5541,4.4117,false,false
6525,KOKUSAI ELECTRIC,2026-04-27,P0_NO_BREAKOUT,CASE1_INITIAL_STOP_ONLY,CASE1 初期STOPのみ（前回と同じ）,INITIAL_STOP_EXIT,2026-04-28,0,6477.4500,false,-2.9305,1,false,false,1.0340,2026-04-28,-3.3268,3.9645,false,false
6525,KOKUSAI ELECTRIC,2026-04-27,P0_NO_BREAKOUT,CASE2_WARNING_EXIT,CASE2 warning_low 下抜けで利確,INITIAL_STOP_EXIT,2026-04-28,0,6477.4500,false,-2.9305,1,false,false,1.0340,2026-04-28,-3.3268,3.9645,false,false
6525,KOKUSAI ELECTRIC,2026-04-27,P0_NO_BREAKOUT,CASE3_TRAILING,CASE3 トレーリング（warning_low では降りない）,INITIAL_STOP_EXIT,2026-04-28,0,6477.4500,false,-2.9305,1,false,false,1.0340,2026-04-28,-3.3268,3.9645,false,false
6645,オムロン,2026-05-22,P3_REHIGH_ONCE,CASE1_INITIAL_STOP_ONLY,CASE1 初期STOPのみ（前回と同じ）,INITIAL_STOP_EXIT,2026-07-17,39,5236.6850,false,-7.8048,40,false,false,12.3768,2026-06-04,-9.1901,20.1816,true,true
6645,オムロン,2026-05-22,P3_REHIGH_ONCE,CASE2_WARNING_EXIT,CASE2 warning_low 下抜けで利確,WARNING_LOW_EXIT_CANDIDATE,2026-06-08,10,5865.0000,true,3.2570,11,false,false,12.3768,2026-06-04,-6.2324,9.1197,false,true
6645,オムロン,2026-05-22,P3_REHIGH_ONCE,CASE3_TRAILING,CASE3 トレーリング（warning_low では降りない）,TRAIL_STOP_EXIT,2026-06-08,10,5729.2100,false,0.8664,11,false,false,12.3768,2026-06-04,-6.2324,11.5104,false,true
6594,ニデック,2026-05-29,P2_WARNING_LOW_BREAK,CASE1_INITIAL_STOP_ONLY,CASE1 初期STOPのみ（前回と同じ）,INITIAL_STOP_EXIT,2026-06-08,5,2580.0000,true,-7.8571,6,false,false,4.3571,2026-06-01,-8.3214,12.2143,false,false
6594,ニデック,2026-05-29,P2_WARNING_LOW_BREAK,CASE2_WARNING_EXIT,CASE2 warning_low 下抜けで利確,WARNING_LOW_EXIT_CANDIDATE,2026-06-08,5,2580.0000,true,-7.8571,6,false,false,4.3571,2026-06-01,-8.3214,12.2143,false,false
6594,ニデック,2026-05-29,P2_WARNING_LOW_BREAK,CASE3_TRAILING,CASE3 トレーリング（warning_low では降りない）,INITIAL_STOP_EXIT_AFTER_BREAKOUT,2026-06-08,5,2580.0000,true,-7.8571,6,false,false,4.3571,2026-06-01,-8.3214,12.2143,false,false
7182,ゆうちょ銀行,2026-06-09,P2_WARNING_LOW_BREAK,CASE1_INITIAL_STOP_ONLY,CASE1 初期STOPのみ（前回と同じ）,INITIAL_STOP_EXIT,2026-06-29,13,3033.7550,false,-4.8383,14,false,false,3.7641,2026-06-15,-4.9247,8.6024,false,false
7182,ゆうちょ銀行,2026-06-09,P2_WARNING_LOW_BREAK,CASE2_WARNING_EXIT,CASE2 warning_low 下抜けで利確,WARNING_LOW_EXIT_CANDIDATE,2026-06-22,8,3186.0000,false,-0.0627,9,false,false,3.7641,2026-06-15,-4.0151,3.8269,false,false
7182,ゆうちょ銀行,2026-06-09,P2_WARNING_LOW_BREAK,CASE3_TRAILING,CASE3 トレーリング（warning_low では降りない）,INITIAL_STOP_EXIT_AFTER_BREAKOUT,2026-06-29,13,3033.7550,false,-4.8383,14,false,false,3.7641,2026-06-15,-4.9247,8.6024,false,false
8306,三菱UFJ,2026-06-12,P4_REHIGH_MULTI,CASE1_INITIAL_STOP_ONLY,CASE1 初期STOPのみ（前回と同じ）,DATA_END_OPEN,2026-08-10,39,3510.0000,false,8.6351,40,true,false,18.0130,2026-07-27,-1.5785,9.3779,false,true
