# 各営業日の状態と、その日の寄り時点で有効だった active_stop（§11）。 引き上げた STOP を当日の安値へ遡って適用していないことがここで確認できる。
code,signal_date,day_offset,date,state,open,high,low,close,volume,active_stop,holding_high,reference_high,warning_low,unrealized_pct
7203,2026-02-25,2,2026-03-02,TREND_HOLD,3630.9359,3898.9453,3598.4200,3886.1360,44611800,3534.3490,3768.8818,,,4.3386
7203,2026-02-25,3,2026-03-03,TREND_HOLD,3744.2487,3745.2341,3619.1120,3647.6865,50592000,3534.3490,3898.9453,,,-2.0635
7203,2026-02-25,4,2026-03-04,WARNING,3606.3027,3615.1707,3445.6941,3468.3567,34266800,3534.3490,3898.9453,3898.9453,3619.1120,-6.8783
7012,2026-02-26,0,2026-02-27,INITIAL_HOLD,3505.7107,3644.8262,3488.8181,3627.9336,24264000,3310.2136,3505.7107,,,3.4864
7012,2026-02-26,1,2026-03-02,TREND_HOLD,3676.6240,3729.2892,3582.2242,3651.7820,24960500,3310.2136,3644.8262,,,4.1667
7012,2026-02-26,2,2026-03-03,WARNING,3731.2765,3742.2070,3433.1718,3435.1592,21441500,3310.2136,3729.2892,3729.2892,3582.2242,-2.0125
7012,2026-02-26,3,2026-03-04,TREND_HOLD,3318.8984,3362.6204,3057.5600,3182.7639,34144000,3416.0060,3742.2070,,,-9.2120
9104,2026-03-09,0,2026-03-10,INITIAL_HOLD,5872.2289,5941.0825,5758.1286,5902.7212,4745300,5648.1052,5872.2289,,,0.5193
9104,2026-03-09,1,2026-03-11,INITIAL_HOLD,5950.9187,6177.1520,5926.3281,6146.6597,5189200,5648.1052,5941.0825,,,4.6734
9104,2026-03-09,2,2026-03-12,TREND_HOLD,6127.9706,6155.5120,5972.5582,6072.8877,4291900,5648.1052,6177.1520,,,3.4171
9104,2026-03-09,3,2026-03-13,WARNING,6010.9198,6147.6434,6004.0344,6015.8379,4121000,5648.1052,6177.1520,6177.1520,5972.5582,2.4456
9104,2026-03-09,4,2026-03-16,WARNING,6073.8713,6089.6093,5909.6063,5940.0986,2957500,5648.1052,6177.1520,6177.1520,5972.5582,1.1558
9104,2026-03-09,5,2026-03-17,WARNING,6000.0997,6275.5141,5942.0659,6173.2173,5739800,5648.1052,6177.1520,6177.1520,5972.5582,5.1256
9104,2026-03-09,6,2026-03-18,TREND_HOLD,6364.0400,6944.3775,6339.4494,6899.1309,20924500,5880.0583,6275.5141,,,17.4874
9104,2026-03-09,7,2026-03-19,TREND_HOLD,6908.9673,7205.0378,6849.9499,6861.7534,15434800,5880.0583,6944.3775,,,16.8509
