date,code,name,sector,themes,status,close,ma25,range_days,range_lower,range_upper,range_position,distance_to_lower_pct,lower_touch_count,prev_high,rebound_confirmed,volume_state,initial_stop,reason
2026-09-07,5706,三井金属,非鉄金属,非鉄・資源素材,OUT,25800.00,29165.80,3,25280.00,26490.00,0.430,,1,26090.00,false,neutral,,"株価 25,800円 が対象レンジ 2,000円〜7,000円 の外"
2026-09-07,4755,楽天グループ,サービス業,AIインフラ・通信,OUT,742.20,785.45,3,721.20,759.00,0.556,,1,757.80,false,contracting,,"株価 742円 が対象レンジ 2,000円〜7,000円 の外"
2026-09-07,6723,ルネサス,電気機器,半導体・生成AI,OUT,3403.00,3564.72,3,3215.00,3468.00,0.743,,1,3336.00,true,neutral,,"上昇トレンド条件を満たさない（MA25の向き: 下向き — MA25 3,565円 < 5日前 3,589円 (-0.7%)、株価 > MA25: 3,403円 <= MA25 3,565円 (-4.5%)）"
2026-09-07,6503,三菱電機,電気機器,重工・防衛|宇宙・衛星,OUT,5385.00,5681.20,3,5188.00,5400.00,0.929,,1,5306.00,true,neutral,,"上昇トレンド条件を満たさない（MA25の向き: 下向き — MA25 5,681円 < 5日前 5,707円 (-0.5%)、株価 > MA25: 5,385円 <= MA25 5,681円 (-5.2%)）"
2026-09-07,6146,ディスコ,機械,半導体・生成AI,OUT,57150.00,60380.40,,,,,,,55100.00,true,unknown,,"株価 57,150円 が対象レンジ 2,000円〜7,000円 の外"
2026-09-07,6920,レーザーテック,電気機器,半導体・生成AI,OUT,35590.00,37082.40,,,,,,,34080.00,true,unknown,,"株価 35,590円 が対象レンジ 2,000円〜7,000円 の外"
2026-09-07,7013,IHI,機械,重工・防衛,OUT,2730.50,2763.70,,,,,,,2666.00,true,unknown,,"上昇トレンド条件を満たさない（MA25の向き: 下向き — MA25 2,764円 < 5日前 2,789円 (-0.9%)、株価 > MA25: 2,730円 <= MA25 2,764円 (-1.2%)）"
2026-09-07,5816,オーナンバ,非鉄金属,電線・データセンター,OUT,1458.00,1523.60,,,,,,,1474.00,false,unknown,,"株価 1,458円 が対象レンジ 2,000円〜7,000円 の外"
2026-09-07,7004,カナデビア,機械,造船・海運,OUT,1193.00,1202.88,,,,,,,1169.00,true,unknown,,"株価 1,193円 が対象レンジ 2,000円〜7,000円 の外"
2026-09-07,6361,荏原,機械,機械・設備投資,OUT,4598.00,5164.92,,,,,,,4454.00,true,unknown,,"上昇トレンド条件を満たさない（MA25の向き: 下向き — MA25 5,165円 < 5日前 5,318円 (-2.9%)、株価 > MA25: 4,598円 <= MA25 5,165円 (-11.0%)）"
2026-09-07,6479,ミネベアミツミ,電気機器,機械・設備投資,OUT,3468.00,3545.52,,,,,,,3358.00,true,unknown,,"上昇トレンド条件を満たさない（MA25の向き: 下向き — MA25 3,546円 < 5日前 3,611円 (-1.8%)、株価 > MA25: 3,468円 <= MA25 3,546円 (-2.2%)）"
