# 保有中に出現した陰線（close < open）の一覧。§30 の警戒足ルールは機械定義が未確定のため、ここでは売却判定をしていない。 change_pct / body_to_atr / volume_ratio / close_pos_in_day_range はMANUAL_EXIT_REVIEW（人間がチャート確認）のための参考指標であり閾値は設けていない。
code,name,signal_date,date,day_offset,is_first,open,high,low,close,volume,broke_low_date,broke_low_day_offset,days_from_candle_to_break,new_high_vs_candle_high_before_break,new_high_vs_position_peak_before_break,change_pct,body_pct,body_to_atr,volume_ratio,close_pos_in_day_range,manual_exit_review
9104,商船三井,2026-03-09,2026-04-08,20,false,6890.0000,6912.0000,6556.0000,6593.0000,10196700,2026-04-10,22,2,false,false,-4.0320,4.3106,0.9898,1.4659,0.1039,true
9104,商船三井,2026-03-09,2026-04-09,21,false,6655.0000,6716.0000,6580.0000,6631.0000,5595300,2026-04-10,22,1,false,false,0.5764,0.3606,0.0844,0.8123,0.3750,true
9104,商船三井,2026-03-09,2026-04-10,22,false,6600.0000,6604.0000,6423.0000,6473.0000,5396300,2026-04-13,23,1,false,false,-2.3827,1.9242,0.4980,0.7874,0.2762,true
9104,商船三井,2026-03-09,2026-04-13,23,false,6500.0000,6596.0000,6382.0000,6387.0000,4063300,2026-04-14,24,1,false,false,-1.3286,1.7385,0.4406,0.5937,0.0234,true
9104,商船三井,2026-03-09,2026-04-15,25,false,6434.0000,6448.0000,6231.0000,6362.0000,4716800,2026-04-20,28,3,false,false,-0.7179,1.1191,0.2953,0.6988,0.6037,true
9104,商船三井,2026-03-09,2026-04-17,27,false,6394.0000,6419.0000,6305.0000,6307.0000,2317900,2026-04-20,28,1,false,false,-1.1442,1.3607,0.3841,0.3512,0.0175,true
9104,商船三井,2026-03-09,2026-04-20,28,false,6252.0000,6284.0000,6090.0000,6106.0000,3467600,2026-04-21,29,1,false,false,-3.1869,2.3353,0.6626,0.5274,0.0825,true
9104,商船三井,2026-03-09,2026-04-21,29,false,6100.0000,6140.0000,6018.0000,6088.0000,2305800,2026-04-23,31,2,true,false,-0.2948,0.1967,0.0582,0.3521,0.5738,true
9104,商船三井,2026-03-09,2026-04-22,30,false,6100.0000,6156.0000,6051.0000,6089.0000,2322000,2026-04-23,31,1,false,false,0.0164,0.1803,0.0585,0.3621,0.3619,true
9104,商船三井,2026-03-09,2026-04-23,31,false,6051.0000,6155.0000,5921.0000,5999.0000,2752600,2026-04-27,33,2,true,false,-1.4781,0.8594,0.2735,0.4842,0.3333,true
